product_name,sku,price_usd,status,pitch_in,diameter_in,weight_g,categories
4.1x4.1E,LP04141E,2.55,In Stock,4.1,4.1,3.129771,"Multi Rotor (Electric Only), Speed 400 (Electric Only)"
4.1x4.1EP,LP04141EP,2.55,In Stock,4.1,4.1,3.129771,"Multi Rotor (Electric Only), Speed 400 (Electric Only), Speed 400 Reverse Rotation (Left Hand Rotation)"
4.2x2,LP04220,2.6,In Stock,2.0,4.2,3.129771,Sport
4.2x4,LP04240,2.6,In Stock,4.0,4.2,3.129771,"Free Flight, Sport"
4.4x4,LP04440,2.6,In Stock,4.0,4.4,3.991592,"Free Flight, Sport"
4.5x3.5,LP04535,2.6,In Stock,3.5,4.5,3.991592,"Pylon Combat, 1/2A Pylon Combat"
4.5x4,LP04540,2.6,In Stock,4.0,4.5,3.991592,"Pylon Combat, 1/2A Pylon Combat"
4.5x4.1E,LP04541E,2.55,In Stock,4.1,4.5,3.991592,Speed 400 (Electric Only)
4.6x3,LP04630,2.6,Discontinued,3.0,4.6,5.125566999999999,"Pylon Combat, 1/2A Pylon Combat"
4.7x4.2E,LP04742E,2.55,In Stock,4.2,4.7,3.129771,Speed 400 (Electric Only)
4.75x4.5E,LP04745E,2.55,In Stock,4.5,4.75,3.991592,Speed 400 (Electric Only)
4.75x4.5EC,LP04745EC,7.8,In Stock,4.5,4.75,3.129771,"Speed 400 (Electric Only), Carbon Fiber (Electric Only)"
4.75x4.75E,LP04747E,2.55,In Stock,4.75,4.75,3.991592,"Multi Rotor (Electric Only), Speed 400 (Electric Only)"
4.75x4.75EC,LP04747EC,7.8,In Stock,4.75,4.75,3.129771,"Speed 400 (Electric Only), Carbon Fiber (Electric Only)"
4.75x4.75EP,LP04747EP,2.55,In Stock,4.75,4.75,3.991592,"Multi Rotor (Electric Only), Speed 400 (Electric Only), Speed 400 Reverse Rotation (Left Hand Rotation)"
4.75x4,LP04754,2.6,In Stock,4.0,4.75,5.942029,"Pylon Combat, 1/2A Pylon Combat"
4.75x5.5E,LP04755E,2.55,In Stock,5.5,4.75,3.991592,Speed 400 (Electric Only)
5x11E,LP05011E,2.67,In Stock,11.0,5.0,4.989489999999999,"Multi Rotor (Electric Only), FPV Racing / Freestyle, Speed 400 (Electric Only)"
5x11EP,LP05011EP,2.67,In Stock,11.0,5.0,4.989489999999999,"Multi Rotor (Electric Only), FPV Racing / Freestyle, Speed 400 (Electric Only), Speed 400 Reverse Rotation (Left Hand Rotation)"
5x3,LP05030,2.6,In Stock,3.0,5.0,5.942029,"Free Flight, Sport"
5x3E,LP05030E,2.55,In Stock,3.0,5.0,3.129771,"Thin Electric, Multi Rotor (Electric Only)"
5x3E-B4,LP05030E-B4,5.63,Discontinued,3.0,5.0,12.519084,"Multi Rotor (Electric Only), Bundle (2 CW & 2 CCW), FPV Racing / Freestyle"
5x3EP,LP05030EP,2.55,In Stock,3.0,5.0,3.129771,"Thin Electric, Multi Rotor (Electric Only), Electric Reverse Rotation (Left Hand Rotation)"
5x4R-LH,LP05040R-LH,3.12,In Stock,4.0,5.0,7.983184,"Multi Rotor (Electric Only), 3D - Reversible ESC"
